coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,quote_id,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_id,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified,weekday,user_created_at_converted,text_without_stopwords
,Tue Jun 01 08:06:23 +0000 2021,Warszawa,,,0,1399638441877553154,,,,pl,,,,7,1.3996297325604905e+18,MEIN_GOV_PL,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Minister @CzarnekP w #Warszawa: - Podjęliśmy decyzję, aby przeznaczyć 42 mln zł na szkolenia dla nauczycieli wychowania fizycznego. Chcemy zachęcać dzieci do tego, aby ćwiczyły na zajęciach pozalekcyjnych. #AWF #WFzAWF https://t.co/leKulY2RB0",https://twitter.com/CzarnekP/status/1399638441877553154,Wed Feb 22 10:10:37 +0000 2017,834344635774464000,False,"Minister Edukacji i Nauki, Poseł na Sejm RP, doktor habilitowany nauk prawnych, profesor KUL
#PolskaToNieWstyd",21402,60677,850,176,"Lublin, Polska",Przemysław Czarnek,CzarnekP,14169,,http://czarnek.pl,True,Tuesday,Wed 02 22 10:10:37 +0000 2017,"Minister @CzarnekP # Warszawa : - Podjęliśmy decyzję , przeznaczyć 42 mln zł szkolenia nauczycieli wychowania fizycznego . Chcemy zachęcać dzieci , ćwiczyły zajęciach pozalekcyjnych . # AWF # WFzAWF https://t.co/leKulY2RB0"
,Tue Jun 01 08:08:45 +0000 2021,wyborcza,,"https://warszawa.wyborcza.pl/warszawa/7,54420,27150939,jan-spiewak-przegral-proces-z-bylym-wiceprezydentem.html?utm_source=facebook.com&utm_medium=SM&utm_campaign=FB_Gazeta_Wyborcza",105,1399639039431565314,,,,pl,,False,,16,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Jan Śpiewak przegrał proces z byłym wiceprezydentem #wyborcza https://t.co/mDcDWBii0X,https://twitter.com/gazeta_wyborcza/status/1399639039431565314,Mon Jan 19 10:38:55 +0000 2009,19179390,False,Oficjalne konto Gazety Wyborczej. Agora S.A. przetwarza dane w związku z prowadzeniem profilu. Więcej: https://t.co/v45sKvG0i5,15587,895927,595,1656,Warszawa + 32 miasta,Gazeta Wyborcza.pl,gazeta_wyborcza,236254,,http://www.wyborcza.pl,True,Tuesday,Mon 01 19 10:38:55 +0000 2009,Jan Śpiewak przegrał proces byłym wiceprezydentem # wyborcza https://t.co/mDcDWBii0X
,Tue Jun 01 08:41:29 +0000 2021,,,"https://warszawa.wyborcza.pl/warszawa/7,54420,27150939,jan-spiewak-przegral-proces-z-bylym-wiceprezydentem.html?utm_source=facebook.com&utm_medium=SM&utm_campaign=FB_Gazeta_Wyborcza",27,1399647277199810562,,,,pl,,False,,5,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Przypadek @JanSpiewak pokazuje, jak trudny jest proces przywracania społeczeństwu osoby nagminnie naruszającej prawo. Zwłaszcza, gdy zachowania mogą być efektem nerwicy pomówień, analogicznie do nerwicy kradzieży (kleptomania) czy przekleństw (koprolalia).
https://t.co/YUTETUy2gC",https://twitter.com/krzysztofkrol/status/1399647277199810562,Tue Apr 21 10:25:51 +0000 2009,33867227,False,KPN_podziemie_więzienie_KrzyżPoloniaRestituta_Sejm91-97_Internet_tyg.Wprost_WirtualnaPolska_Prokom_Asseco_PIIT_doradca PBK_KOD_KomitetWałęsy_komputery od 36 lat,11525,8318,346,110,"Milanowek, Polska",Krzysztof Król,krzysztofkrol,15971,,,True,Tuesday,Tue 04 21 10:25:51 +0000 2009,"Przypadek @JanSpiewak pokazuje , trudny proces przywracania społeczeństwu osoby nagminnie naruszającej prawo . Zwłaszcza , zachowania efektem nerwicy pomówień , analogicznie nerwicy kradzieży ( kleptomania ) przekleństw ( koprolalia ) . 
 https://t.co/YUTETUy2gC"
,Tue Jun 01 08:07:03 +0000 2021,,,https://tvn24.pl/tvnwarszawa/najnowsze/warszawa-policjanci-zatrzymali-kolekcjonera-rozkladow-jazdy-5109694,3,1399638612594069506,,,,pl,,False,,0,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Policjanci z Żoliborza zatrzymali 18-letniego mężczyznę podejrzanego o zdemolowanie przystanku autobusowego. W trakcie interwencji funkcjonariusze znaleźli przy 18-latku siedem tablic z rozkładami jazdy.

https://t.co/RS5wTczYIH",https://twitter.com/tvnwarszawa/status/1399638612594069506,Tue May 12 19:02:00 +0000 2009,39568364,False,"Najszybsze informacje i zawsze aktualny serwis wideo z Warszawy.

Członek rodziny @tvn24.",10,334454,21,427,Warszawa,TVN Warszawa,tvnwarszawa,86017,,http://www.tvnwarszawa.pl,True,Tuesday,Tue 05 12 19:02:00 +0000 2009,"Policjanci Żoliborza zatrzymali 18 - letniego mężczyznę podejrzanego zdemolowanie przystanku autobusowego . trakcie interwencji funkcjonariusze znaleźli 18 - latku siedem tablic rozkładami jazdy . 

 https://t.co/RS5wTczYIH"
,Tue Jun 01 08:14:04 +0000 2021,UTRUDNIENIA,,https://tvn24.pl/tvnwarszawa/ulice/warszawa-kolizja-w-alei-armii-ludowej-utrudnienia-w-kierunku-ochoty-5109763,1,1399640377255251968,,,,pl,,False,,0,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","#UTRUDNIENIA | W alei Armii Ludowej na wysokości Marszałkowskiej samochód osobowy zderzył się z ciężarowym. 

https://t.co/XfTaZOOD3D",https://twitter.com/tvnwarszawa/status/1399640377255251968,Tue May 12 19:02:00 +0000 2009,39568364,False,"Najszybsze informacje i zawsze aktualny serwis wideo z Warszawy.

Członek rodziny @tvn24.",10,334454,21,427,Warszawa,TVN Warszawa,tvnwarszawa,86017,,http://www.tvnwarszawa.pl,True,Tuesday,Tue 05 12 19:02:00 +0000 2009,"# UTRUDNIENIA | alei Armii Ludowej wysokości Marszałkowskiej samochód osobowy zderzył ciężarowym . 

 https://t.co/XfTaZOOD3D"
,Tue Jun 01 08:06:29 +0000 2021,Warszawa,,,0,1399638470004514817,,,,pl,,,,5,1.3996341809259643e+18,MEIN_GOV_PL,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Minister @CzarnekP w #Warszawa do nauczycieli: - Dziękuję, że mają Państwo w sobie ogromne pokłady odpowiedzialności za młodych ludzi. Oni czekują od Was wsparcia w odbudowie kondycji fizycznej. Dziękuję rektorowi i całemu zespołowi #AWF za przygotowanie programu #WFzAWF. https://t.co/omwblS2blz",https://twitter.com/CzarnekP/status/1399638470004514817,Wed Feb 22 10:10:37 +0000 2017,834344635774464000,False,"Minister Edukacji i Nauki, Poseł na Sejm RP, doktor habilitowany nauk prawnych, profesor KUL
#PolskaToNieWstyd",21402,60677,850,176,"Lublin, Polska",Przemysław Czarnek,CzarnekP,14169,,http://czarnek.pl,True,Tuesday,Wed 02 22 10:10:37 +0000 2017,"Minister @CzarnekP # Warszawa nauczycieli : - Dziękuję , Państwo ogromne pokłady odpowiedzialności młodych ludzi . czekują wsparcia odbudowie kondycji fizycznej . Dziękuję rektorowi całemu zespołowi # AWF przygotowanie programu # WFzAWF . https://t.co/omwblS2blz"
,Tue Jun 01 08:06:27 +0000 2021,Warszawa WFzAWF,,,0,1399638458826735621,,,,pl,,,,5,1.39963342406391e+18,MEIN_GOV_PL,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Minister @CzarnekP w #Warszawa do nauczycieli: - Dziękuję za udział w #WFzAWF. To dla nas zaszczyt. Ciesze się, że ta znakomita oferta, przygotowana dla nauczycieli wychowania fizycznego przez #AWF, spotkała się z tak dużym odzewem. Zgłosiło się ok. 40 tys. nauczycieli. https://t.co/m3FcXfFV9Z",https://twitter.com/CzarnekP/status/1399638458826735621,Wed Feb 22 10:10:37 +0000 2017,834344635774464000,False,"Minister Edukacji i Nauki, Poseł na Sejm RP, doktor habilitowany nauk prawnych, profesor KUL
#PolskaToNieWstyd",21402,60677,850,176,"Lublin, Polska",Przemysław Czarnek,CzarnekP,14169,,http://czarnek.pl,True,Tuesday,Wed 02 22 10:10:37 +0000 2017,"Minister @CzarnekP # Warszawa nauczycieli : - Dziękuję udział # WFzAWF . zaszczyt . Ciesze , znakomita oferta , przygotowana nauczycieli wychowania fizycznego # AWF , spotkała dużym odzewem . Zgłosiło . 40 . nauczycieli . https://t.co/m3FcXfFV9Z"
,Tue Jun 01 09:16:28 +0000 2021,,,https://tvn24.pl/tvnwarszawa/najnowsze/warszawa-jan-spiewak-przegral-proces-z-wojciechowiczem-5109787,49,1399656079160709121,,,,pl,,False,,6,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Aktywista miejski Jan Śpiewak przegrał proces o ochronę dóbr osobistych z Jackiem Wojciechowiczem, byłym wiceprezydentem Warszawy. 

https://t.co/P0j4uvcLuJ",https://twitter.com/tvnwarszawa/status/1399656079160709121,Tue May 12 19:02:00 +0000 2009,39568364,False,"Najszybsze informacje i zawsze aktualny serwis wideo z Warszawy.

Członek rodziny @tvn24.",10,334454,21,427,Warszawa,TVN Warszawa,tvnwarszawa,86017,,http://www.tvnwarszawa.pl,True,Tuesday,Tue 05 12 19:02:00 +0000 2009,"Aktywista miejski Jan Śpiewak przegrał proces ochronę dóbr osobistych Jackiem Wojciechowiczem , byłym wiceprezydentem Warszawy . 

 https://t.co/P0j4uvcLuJ"
,Tue Jun 01 08:48:14 +0000 2021,,,,0,1399648973921701888,,,,pl,,,,6,1.3989410347096678e+18,EUinPL,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Stęskniliście się za przygodami, które można przeżyć razem w mieście? 12 czerwca zapraszamy Was do udziału w grze miejskiej Kierunek Europa, którą organizujemy w ramach obchodów #DzieńEuropy. 

Widzimy się w @gdansk, @krakow_pl, @warszawa, @wroclaw_info. 

Informacje i zapisy. 👇",https://twitter.com/PE_Wroclaw/status/1399648973921701888,Fri Jan 11 10:14:23 +0000 2013,1079185771,False,"❗ Konto nieaktywne.
Aktualne informacje z Parlamentu Europejskiego 🇪🇺 dotyczące Polski 🇵🇱 znajdziesz na @Europarl_PL.",3383,2508,474,56,ul. Widok 10 Wrocław,PE we Wrocławiu – konto ZARCHIWIZOWANE,PE_Wroclaw,4778,,http://www.europarl.europa.eu/wroclaw,True,Tuesday,Fri 01 11 10:14:23 +0000 2013,"Stęskniliście przygodami , przeżyć razem mieście ? 12 czerwca zapraszamy udziału grze miejskiej Kierunek Europa , którą organizujemy ramach obchodów # DzieńEuropy . 

 Widzimy @gdansk , @krakow_pl , @warszawa , @wroclaw_info . 

 Informacje zapisy . 👇"
,Tue Jun 01 09:19:08 +0000 2021,,,,0,1399656749586604036,,,,pl,,,,6,1.399656079160709e+18,tvnwarszawa,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Aktywista miejski Jan Śpiewak przegrał proces o ochronę dóbr osobistych z Jackiem Wojciechowiczem, byłym wiceprezydentem Warszawy. 

https://t.co/P0j4uvcLuJ",https://twitter.com/tvn24/status/1399656749586604036,Wed Apr 23 13:12:25 +0000 2008,14493047,False,Najnowsze informacje z Polski i ze świata.,56,1911494,71,2131,Poland,tvn24,tvn24,370154,,http://www.tvn24.pl,True,Tuesday,Wed 04 23 13:12:25 +0000 2008,"Aktywista miejski Jan Śpiewak przegrał proces ochronę dóbr osobistych Jackiem Wojciechowiczem , byłym wiceprezydentem Warszawy . 

 https://t.co/P0j4uvcLuJ"
,Tue Jun 01 09:03:13 +0000 2021,wyborcza,,"https://warszawa.wyborcza.pl/warszawa/7,54420,27151195,ugryzla-corke-bo-byla-niegrzeczna-zareagowali-pracownicy.html?utm_source=facebook.com&utm_medium=SM&utm_campaign=FB_Gazeta_Wyborcza",0,1399652747213934592,,,,pl,,False,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Gryzła córkę, ""bo była niegrzeczna"". Zareagowali pracownicy przedszkola #wyborcza https://t.co/uTSsrfUkfI",https://twitter.com/gazeta_wyborcza/status/1399652747213934592,Mon Jan 19 10:38:55 +0000 2009,19179390,False,Oficjalne konto Gazety Wyborczej. Agora S.A. przetwarza dane w związku z prowadzeniem profilu. Więcej: https://t.co/v45sKvG0i5,15587,895927,595,1656,Warszawa + 32 miasta,Gazeta Wyborcza.pl,gazeta_wyborcza,236254,,http://www.wyborcza.pl,True,Tuesday,Mon 01 19 10:38:55 +0000 2009,"Gryzła córkę , "" niegrzeczna "" . Zareagowali pracownicy przedszkola # wyborcza https://t.co/uTSsrfUkfI"
,Tue Jun 01 09:53:58 +0000 2021,,,,0,1399665518450298886,,,,pl,,,,9,1.3996639575316275e+18,lewica_warszawa,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Konstanty Radziwiłł do dymisji!!!
@wiosnabiedronia 
@RobertBiedron @PaulinaPiechna @MarekSzolc @agatadiduszko 

https://t.co/2m7tloYnGy",https://twitter.com/RobertBiedron/status/1399665518450298886,Tue Jan 17 19:49:58 +0000 2012,466781777,False,Współprzewodniczący @__Lewica❤️ | Member of the European Parliament 🇵🇱🇪🇺@TheProgressives | Chair of @EP_genderequal 🌂,83156,418599,2186,562,"Brussels, Belgium",Robert Biedroń,RobertBiedron,25878,,http://www.robertbiedron.pl/,True,Tuesday,Tue 01 17 19:49:58 +0000 2012,"Konstanty Radziwiłł dymisji ! ! ! 
 @wiosnabiedronia 
 @RobertBiedron @PaulinaPiechna @MarekSzolc @agatadiduszko 

 https://t.co/2m7tloYnGy"
,Tue Jun 01 09:44:17 +0000 2021,wieszwięcej,,https://www.tvp.info/54117110/warszawa-atak-na-taksowkarza-na-pulawskiej-zostal-postrzelony-sprawca-uciekl,0,1399663080653660161,,,,pl,,False,,1,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Do incydentu doszło ok. godz. 23:30 w poniedziałek przy ul. Puławskiej w rejonie numeru 138.
#wieszwięcej https://t.co/WvHUej267C",https://twitter.com/tvp_info/status/1399663080653660161,Mon Jun 15 09:00:38 +0000 2009,47295451,False,https://t.co/XzEjWNy3tg #wieszwiecej - najświeższe informacje z kraju i ze świata. Telefon interwencyjny: 601600100,1332,833076,2003,1269,Warszawa,tvp.info 🇵🇱,tvp_info,329096,,,True,Tuesday,Mon 06 15 09:00:38 +0000 2009,"incydentu doszło . . 23:30 poniedziałek ul . Puławskiej rejonie numeru 138 . 
 # wieszwięcej https://t.co/WvHUej267C"
